,price,mls,addr1,addr2,beds,baths
0,"$725,000",MLS#20156419,0 Gateway,"Rock Springs, WY 82901",0,0
1,"$452,900",MLS#20152130,1003 Winchester Blvd.,"Rock Springs, WY 82901",4,4
2,"$396,900",MLS#20156389,600 Talladega,"Rock Springs, WY 82901",5,3
3,"$389,900",MLS#20160119,3239 Spearhead Way,"Rock Springs, WY 82901",4,3
4,"$254,000",MLS#20155008,522 Emerald Street,"Rock Springs, WY 82901",3,3
5,"$252,900",MLS#20160028,1302 Veteran's Drive,"Rock Springs, WY 82901",4,2
6,"$210,000",MLS#20156320,1021 Cypress Cir,"Rock Springs, WY 82901",4,3
7,"$209,000",MLS#20155756,913 Madison Dr,"Rock Springs, WY 82901",3,2
8,"$199,900",MLS#20156880,1344 Teton Street,"Rock Springs, WY 82901",3,2
9,"$196,900",MLS#20156365,4 Minnies Lane,"Rock Springs, WY 82901",3,2
10,"$1,700,000",MLS#81415,9339 Sd 26900,"Rocksprings, TX 78880",0,0
11,"$1,100,000",MLS#85217,RR674P13 Hwy 377,"Rocksprings, TX 78880",0,0
12,"$1,080,000",MLS#86198,0 Hwy 41,"Rocksprings, TX 78880",0,0
13,"$908,350",MLS#85642,9339 Sd 26900,"Rocksprings, TX 78880",0,0
14,"$905,000",MLS#85215,CR450 Hwy 377,"Rocksprings, TX 78880",0,0
15,"$695,000",MLS#86361,Cr 240 Cr 240,"Rocksprings, TX 78880",0,0
16,"$605,000",MLS#86312,RR674 Hwy 377,"Rocksprings, TX 78880",0,0
17,"$559,805",MLS#85713,9770a Sd 26900,"Rocksprings, TX 78880",0,0
18,"$504,000",MLS#86642,Lot17 CR 2630,"Rocksprings, TX 78880",0,0
19,"$410,000",MLS#86390,"Tr12,16 CR 520","Rocksprings, TX 78880",0,0
20,"$299,900",MLS#4857876,32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324",3,2
21,"$167,500",MLS#4773355,32750 S Shangrila Drive,"Black Canyon City, AZ 85324",3,2
22,"$150,000",MLS#4841819,0000 Black Canyon Highway,"Black Canyon City, AZ 85324",0,0
23,"$129,500",MLS#4686266,34775 S CHOLLA Drive,"Black Canyon City, AZ 85324",3,2
24,"$129,000",MLS#4724003,33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324",4,2
25,"$80,000",MLS#4805622,34263 S Bertha Street,"Black Canyon City, AZ 85324",5,2
26,"$77,900",MLS#4782047,33160 S Canyon Road,"Black Canyon City, AZ 85324",3,2
27,"$70,500",MLS#4828193,19421 E Todd Evans Road,"Black Canyon City, AZ 85324",3,2
28,"$70,000",MLS#4835071,18688 E AGUA Vista,"Black Canyon City, AZ 85324",0,0
29,"$67,500",MLS#2616830,50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",0,0
30,"$54,900",MLS#4824906,20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",0,0
31,"$45,600",MLS#4722011,33259 S Canyon Road,"Black Canyon City, AZ 85324",3,1
32,"$40,000",MLS#4657463,34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",2,1
33,"$30,000",MLS#4781544,19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",0,0
34,"$29,000",MLS#4621064,19000 E MAREN Avenue,"Black Canyon City, AZ 85324",0,0
35,"$28,995",MLS#4848089,19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",0,0
36,"$15,000",MLS#4749944,20650 E Amethyst Place,"Black Canyon City, AZ 85324",0,0
